url,status,details,load_status,load_time_s,contact_page_status,form_status,fields_filled,filled_fields,failed_fields,validation_status,captcha_status,submit_status,success_status
https://digitactix.com/contact/,Failed,No contact form detected,Loaded,2.0,Opened,Not found,,,,,,,
https://digitalf5.com,Failed,Submitted but no confirmation detected,Loaded,4.4,Opened,Found,3,"full_name,email,message","first_name,last_name,phone,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Send' (score=120),No confirmation
https://oriondigital.in/https-oriondigital-in-contact-us/,Success,Verified thank-you / redirect,Loaded,2.4,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit Request' (score=120),Success detected
https://anbluxury.com/#footer,Skipped,Page load timeout,Timeout,,,,,,,,,,
https://the4psolutions.com/,Failed,Submitted but no confirmation detected,Loaded,3.2,Opened,Found,5,"full_name,company,email,phone,message","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),No confirmation
https://www.techinfinity.io/,Failed,No contact form detected,Loaded,18.2,Opened,Not found,,,,,,,
https://howtodigital.in/,Success,Verified thank-you / redirect,Loaded,1.2,Opened,Found,4,"full_name,company,email,message","first_name,last_name,phone,website,job_title,subject,budget,address",,Not present,Clicked: 'SUBMIT QUESTION' (score=110),Success detected
https://biznex.app/contactus.php,Success,Verified thank-you / redirect,Loaded,1.2,Opened,Found,5,"full_name,email,phone,company,message","first_name,last_name,website,job_title,subject,budget,address",,Auto-solved at pre-submit: reCAPTCHA v2,Clicked: 'Just Send' (score=95),Success detected
https://shoutinandout.com/contacts/,Failed,Submitted but no confirmation detected,Loaded,2.0,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'SEND MESSAGE' (score=105),No confirmation
https://cashdigitalmedia.com/,Success,Verified thank-you / redirect,Loaded,3.0,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Send Message' (score=120),Success detected
https://www.fruitbowldigital.com/contact-us/,Failed,Submitted but no confirmation detected,Loaded,5.3,Opened,Found,7,"first_name,phone,email,company,select:your-refer,select:budget,message","last_name,full_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://dhiyaradigital.com/contact/,Failed,Submitted but no confirmation detected,Loaded,4.0,Opened,Found,6,"first_name,email,phone,address,select:What you are looking for?,message","last_name,full_name,company,website,job_title,subject,budget",,Not present,Clicked: 'Submit Form' (score=120),No confirmation
https://dimerse.com/,Failed,No contact form detected,Loaded,1.7,Opened,Not found,,,,,,,
https://www.3mindsdigital.com/contact-us,Failed,Submitted but no confirmation detected,Loaded,0.8,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit request' (score=105),No confirmation
https://rridix.com/contact-us/,Success,Verified thank-you / redirect,Loaded,5.1,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=120),Success detected
https://www.redrockindia.in/contact-us/,Failed,Submitted but no confirmation detected,Loaded,0.6,Opened,Found,6,"company,full_name,email,phone,select:quform_2_7,message","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Send' (score=120),No confirmation
https://1702digital.com/contact/,Skipped,Page load timeout,Timeout,,,,,,,,,,
https://www.mediabarn.co.in/,Failed,No contact form detected,Loaded,2.0,Opened,Not found,,,,,,,
https://bricksdigitalmedia.com/contact,Success,Verified thank-you / redirect,Loaded,3.5,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'SUBMIT ENQUIRY' (score=95),Success detected
https://digichefs.com/contact-us/,Failed,Submitted but no confirmation detected,Loaded,3.5,Opened,Found,7,"full_name,phone,email,select:Purpose,select:company_size,budget,message","first_name,last_name,company,website,job_title,subject,address",,Auto-solved at post-submit: reCAPTCHA v2,Clicked: 'Submit' (score=120),No confirmation
https://www.owlprime.com/contact-us/,Failed,Submitted but no confirmation detected,Loaded,6.8,Opened,Found,5,"full_name,phone,email,company,message","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
